Transmission monitoring at 550.0000 nm and 0.00 degrees for unpolarized light
layer  thickness (nm)               T
    2      238.702874        0.567301
    2      239.702874        0.564693
    2      240.702874        0.562378
    2      241.702874        0.560353
    2      242.702874        0.558618
    2      243.702874        0.557171
    2      244.702874        0.556013
    2      245.702874        0.555141
    2      246.702874        0.554555
    2      247.702874        0.554256
    2      248.702874        0.554243
    2      249.702874        0.554515
    2      250.702874        0.555074
    2      251.702874        0.555919
    2      252.702874        0.557051
    2      253.702874        0.558470
    2      254.702874        0.560178
    2      255.702874        0.562176
    2      256.702874        0.564464
    2      256.925882        0.565014
    3      256.925882        0.565014
    3      257.925882        0.565882
    3      258.925882        0.566856
    3      259.925882        0.567935
    3      260.925882        0.569120
    3      261.925882        0.570410
    3      262.925882        0.571806
    3      263.925882        0.573307
    3      264.925882        0.574913
    3      265.925882        0.576624
    3      266.925882        0.578440
    3      267.925882        0.580360
    3      268.925882        0.582385
    3      269.925882        0.584514
    3      270.925882        0.586746
    3      271.925882        0.589082
    3      272.925882        0.591520
    3      273.925882        0.594061
    3      274.925882        0.596704
    3      275.925882        0.599447
    3      276.925882        0.602291
    3      277.925882        0.605234
    3      278.925882        0.608276
    3      279.925882        0.611416
    3      280.925882        0.614652
    3      281.925882        0.617984
    3      282.925882        0.621409
    3      283.925882        0.624926
    3      284.925882        0.628535
    3      285.925882        0.632232
    3      286.925882        0.636017
    3      287.925882        0.639887
    3      288.925882        0.643839
    3      289.925882        0.647872
    3      290.925882        0.651983
    3      291.925882        0.656168
    3      292.925882        0.660425
    3      293.925882        0.664751
    3      294.925882        0.669143
    3      295.925882        0.673595
    3      296.925882        0.678106
    3      297.925882        0.682669
    3      298.925882        0.687282
    3      299.925882        0.691939
    3      300.925882        0.696635
    3      301.925882        0.701365
    3      302.925882        0.706125
    3      303.925882        0.710907
    3      304.925882        0.715706
    3      305.925882        0.720515
    3      306.925882        0.725329
    3      307.925882        0.730140
    3      308.925882        0.734942
    3      309.925882        0.739727
    3      310.925882        0.744487
    3      311.925882        0.749215
    3      312.925882        0.753903
    3      313.925882        0.758542
    3      314.925882        0.763125
    3      315.925882        0.767643
    3      316.925882        0.772087
    3      317.925882        0.776449
    3      318.925882        0.780720
    3      319.925882        0.784890
    3      320.925882        0.788952
    3      321.925882        0.792897
    3      322.925882        0.796714
    3      323.925882        0.800397
    3      324.925882        0.803936
    3      325.925882        0.807323
    3      326.925882        0.810550
    3      327.925882        0.813608
    3      328.925882        0.816491
    3      329.925882        0.819190
    3      330.925882        0.821699
    3      331.925882        0.824012
    3      332.925882        0.826121
    3      333.925882        0.828022
    3      334.925882        0.829710
    3      335.925882        0.831179
    3      336.925882        0.832425
    3      337.925882        0.833446
    3      338.925882        0.834238
    3      339.925882        0.834798
    3      340.925882        0.835127
    3      341.925882        0.835222
    3      342.925882        0.835083
    3      343.925882        0.834711
    3      344.925882        0.834107
    3      345.718118        0.833464
    4      345.718118        0.833464
    4      346.718118        0.829916
    4      347.718118        0.824840
    4      348.718118        0.818303
    4      349.718118        0.810392
    4      350.718118        0.801208
    4      351.718118        0.790863
    4      352.718118        0.779479
    4      353.718118        0.767183
    4      354.718118        0.754103
    4      355.718118        0.740370
    4      356.718118        0.726108
    4      357.718118        0.711441
    4      358.718118        0.696482
    4      359.718118        0.681340
    4      360.718118        0.666112
    4      361.718118        0.650888
    4      362.718118        0.635747
    4      363.718118        0.620760
    4      364.718118        0.605989
    4      365.718118        0.591485
    4      366.718118        0.577294
    4      367.718118        0.563451
    4      368.718118        0.549987
    4      369.718118        0.536925
    4      370.718118        0.524283
    4      371.718118        0.512074
    4      372.718118        0.500307
    4      373.718118        0.488986
    4      374.718118        0.478114
    4      375.718118        0.467690
    4      376.718118        0.457710
    4      377.718118        0.448170
    4      378.718118        0.439063
    4      379.718118        0.430382
    4      380.718118        0.422118
    4      381.718118        0.414262
    4      382.718118        0.406805
    4      383.718118        0.399736
    4      384.718118        0.393046
    4      385.718118        0.386725
    4      386.718118        0.380763
    4      387.718118        0.375149
    4      388.718118        0.369875
    4      389.718118        0.364932
    4      390.718118        0.360310
    4      391.718118        0.356001
    4      392.718118        0.351997
    4      393.718118        0.348291
    4      394.718118        0.344875
    4      395.718118        0.341743
    4      396.718118        0.338889
    4      397.718118        0.336307
    4      398.718118        0.333991
    4      399.718118        0.331938
    4      400.718118        0.330144
    4      401.718118        0.328603
    4      402.175616        0.327983
    5      402.175616        0.327983
    5      403.175616        0.327600
    5      404.175616        0.327299
    5      405.175616        0.327080
    5      406.175616        0.326943
    5      407.175616        0.326888
    5      408.175616        0.326915
    5      409.175616        0.327023
    5      410.175616        0.327213
    5      411.175616        0.327485
    5      412.175616        0.327839
    5      413.175616        0.328275
    5      414.175616        0.328793
    5      415.175616        0.329394
    5      416.175616        0.330078
    5      417.175616        0.330844
    5      418.175616        0.331693
    5      419.175616        0.332626
    5      420.175616        0.333642
    5      421.175616        0.334743
    5      422.175616        0.335927
    5      423.175616        0.337197
    5      424.175616        0.338551
    5      425.175616        0.339990
    5      426.175616        0.341516
    5      427.175616        0.343127
    5      428.175616        0.344825
    5      429.175616        0.346609
    5      430.175616        0.348481
    5      431.175616        0.350440
    5      432.175616        0.352487
    5      433.175616        0.354622
    5      434.175616        0.356846
    5      435.175616        0.359158
    5      436.175616        0.361559
    5      437.175616        0.364049
    5      438.175616        0.366628
    5      439.175616        0.369296
    5      440.175616        0.372053
    5      441.175616        0.374899
    5      442.175616        0.377834
    5      443.175616        0.380857
    5      444.175616        0.383969
    5      445.175616        0.387168
    5      446.175616        0.390454
    5      447.175616        0.393825
    5      448.175616        0.397282
    5      449.175616        0.400823
    5      450.175616        0.404447
    5      451.175616        0.408151
    5      452.175616        0.411935
    5      453.175616        0.415797
    5      454.175616        0.419734
    5      455.175616        0.423743
    5      456.175616        0.427823
    5      457.175616        0.431970
    5      458.175616        0.436181
    5      459.175616        0.440452
    5      460.175616        0.444779
    5      461.175616        0.449158
    5      462.175616        0.453585
    5      463.175616        0.458054
    5      464.175616        0.462560
    5      465.175616        0.467097
    5      466.175616        0.471660
    5      467.175616        0.476240
    5      468.175616        0.480833
    5      469.175616        0.485429
    5      470.175616        0.490022
    5      471.175616        0.494603
    5      472.175616        0.499164
    5      473.175616        0.503696
    5      474.175616        0.508189
    5      475.175616        0.512634
    5      476.175616        0.517021
    5      477.175616        0.521340
    5      478.175616        0.525581
    5      479.175616        0.529732
    5      480.175616        0.533783
    5      481.175616        0.537724
    5      482.175616        0.541542
    5      483.175616        0.545228
    5      484.175616        0.548771
    5      485.175616        0.552158
    5      486.175616        0.555382
    5      487.175616        0.558429
    5      488.175616        0.561292
    5      489.175616        0.563960
    5      490.175616        0.566424
    5      491.175616        0.568676
    5      492.175616        0.570707
    5      493.175616        0.572511
    5      494.175616        0.574080
    5      495.175616        0.575410
    5      496.175616        0.576494
    5      497.175616        0.577330
    5      498.175616        0.577914
    5      499.175616        0.578243
    5      500.175616        0.578317
    5      501.175616        0.578135
    5      502.175616        0.577698
    5      503.175616        0.577007
    5      504.175616        0.576065
    5      505.175616        0.574876
    5      506.175616        0.573445
    5      507.175616        0.571775
    5      508.175616        0.569874
    5      509.175616        0.567749
    5      510.175616        0.565406
    5      511.175616        0.562855
    5      512.175616        0.560104
    5      513.175616        0.557161
    5      514.175616        0.554038
    5      515.175616        0.550744
    5      516.175616        0.547290
    5      517.175616        0.543685
    5      518.175616        0.539942
    5      519.175616        0.536070
    5      520.175616        0.532082
    5      521.175616        0.527987
    5      521.231181        0.527756
