"Open_Time","Open","High","Low","Close","Volume","Close_Time","Quote","Trades","Takers_Buy_Base","Takers_Buy_Quote","Ignore","Open_Timestamp","Close_Timestamp"
"1600300800000.0","0.3","15.0","0.3","3.4617","102597222.59","1600387199999.0","333729068.925844","660780.0","49916784.87","163175040.541875","0.0","2020-09-17","2020-09-17 23:59:59.999000064"
"1600387200000.0","3.4618","8.6","3.2285","6.9","167667906.97","1600473599999.0","1000039651.037696","1486593.0","85283759.81","508239056.893086","0.0","2020-09-18","2020-09-18 23:59:59.999000064"
"1600473600000.0","6.9","7.4963","5.19","5.7244","79814511.66","1600559999999.0","515450179.992354","979043.0","38099403.63","246518469.056179","0.0","2020-09-19","2020-09-19 23:59:59.999000064"
"1600560000000.0","5.7244","6.09","4.65","5.223","53519725.62","1600646399999.0","282681649.969729","592785.0","26051761.15","137608643.398576","0.0","2020-09-20","2020-09-20 23:59:59.999000064"
"1600646400000.0","5.22","5.65","4.06","4.2471","56110504.32","1600732799999.0","263249742.810448","540477.0","26954893.82","126340030.721059","0.0","2020-09-21","2020-09-21 23:59:59.999000064"
"1600732800000.0","4.2505","4.554","3.6828","3.9105","40815724.83","1600819199999.0","165782944.378901","382520.0","19471593.32","79103471.627835","0.0","2020-09-22","2020-09-22 23:59:59.999000064"
"1600819200000.0","3.9079","5.3475","3.9008","4.38","58485584.8","1600905599999.0","267187483.34736","527149.0","28108700.59","128533720.004493","0.0","2020-09-23","2020-09-23 23:59:59.999000064"
"1600905600000.0","4.38","5.2888","4.26","5.164","44859170.85","1600991999999.0","219988837.338756","391758.0","22737886.31","111556117.598302","0.0","2020-09-24","2020-09-24 23:59:59.999000064"
"1600992000000.0","5.159","5.5525","4.7605","4.9145","31809864.62","1601078399999.0","163328757.293314","296577.0","15261671.0","78450506.027488","0.0","2020-09-25","2020-09-25 23:59:59.999000064"
"1601078400000.0","4.9134","4.9897","4.6752","4.8684","15021040.65","1601164799999.0","72802048.888563","163093.0","7115893.44","34521876.040647","0.0","2020-09-26","2020-09-26 23:59:59.999000064"
"1601164800000.0","4.8638","5.2133","4.7","4.8458","14663658.99","1601251199999.0","72093517.118611","142632.0","6896512.3","33942124.104781","0.0","2020-09-27","2020-09-27 23:59:59.999000064"
"1601251200000.0","4.846","4.95","4.18","4.2503","15753026.48","1601337599999.0","71795633.330892","201135.0","7355855.15","33579375.931476","0.0","2020-09-28","2020-09-28 23:59:59.999000064"
"1601337600000.0","4.2475","4.4135","4.12","4.3826","11551787.7","1601423999999.0","49146508.253399","103968.0","5757450.5","24517075.303158","0.0","2020-09-29","2020-09-29 23:59:59.999000064"
"1601424000000.0","4.3826","4.3854","3.95","4.1554","8331877.3","1601510399999.0","34298302.909446","80917.0","3861793.54","15901436.502265","0.0","2020-09-30","2020-09-30 23:59:59.999000064"
"1601510400000.0","4.1554","4.514","3.9038","4.2397","18775683.03","1601596799999.0","79128683.435219","171366.0","8729961.34","36679006.643481","0.0","2020-10-01","2020-10-01 23:59:59.999000064"
"1601596800000.0","4.2396","4.2396","3.569","3.8904","12414352.91","1601683199999.0","48261612.062012","108141.0","5838272.9","22692124.396415","0.0","2020-10-02","2020-10-02 23:59:59.999000064"
"1601683200000.0","3.89","4.1195","3.83","3.9041","6558893.01","1601769599999.0","25875306.620727","49329.0","3217507.68","12699848.845831","0.0","2020-10-03","2020-10-03 23:59:59.999000064"
"1601769600000.0","3.9001","3.9447","3.61","3.7262","9253080.76","1601855999999.0","34747338.408722","72482.0","4273363.85","16048003.80846","0.0","2020-10-04","2020-10-04 23:59:59.999000064"
"1601856000000.0","3.7235","3.8","3.1817","3.319","14619829.43","1601942399999.0","50225014.640488","116364.0","6579123.87","22581582.791628","0.0","2020-10-05","2020-10-05 23:59:59.999000064"
"1601942400000.0","3.319","3.3409","2.63","2.7143","23504656.67","1602028799999.0","70355709.608437","165293.0","10959276.6","32869161.567142","0.0","2020-10-06","2020-10-06 23:59:59.999000064"
"1602028800000.0","2.7143","3.0","2.4779","2.9621","24192428.29","1602115199999.0","65517558.254562","187406.0","11301440.49","30685982.54904","0.0","2020-10-07","2020-10-07 23:59:59.999000064"
"1602115200000.0","2.9629","3.4654","2.6428","3.3499","25679034.97","1602201599999.0","79113737.585465","212758.0","12723674.34","39267637.180422","0.0","2020-10-08","2020-10-08 23:59:59.999000064"
"1602201600000.0","3.3499","3.6","3.1749","3.3834","16228659.83","1602287999999.0","54925623.775849","132223.0","7891079.89","26728204.174041","0.0","2020-10-09","2020-10-09 23:59:59.999000064"
"1602288000000.0","3.38","3.6578","3.2664","3.2989","10858881.78","1602374399999.0","37328992.387001","94081.0","5181079.43","17810282.960713","0.0","2020-10-10","2020-10-10 23:59:59.999000064"
"1602374400000.0","3.2956","3.451","3.1776","3.3626","8504843.75","1602460799999.0","28263092.495599","63493.0","4098191.93","13630714.572475","0.0","2020-10-11","2020-10-11 23:59:59.999000064"
"1602460800000.0","3.36","3.5994","3.282","3.4599","8926434.98","1602547199999.0","30646748.115858","72138.0","4324180.05","14856846.555209","0.0","2020-10-12","2020-10-12 23:59:59.999000064"
"1602547200000.0","3.4554","3.5","3.2931","3.3546","5585565.98","1602633599999.0","19007337.641713","43407.0","2557600.65","8706941.211257","0.0","2020-10-13","2020-10-13 23:59:59.999000064"
"1602633600000.0","3.3511","3.44","2.97","3.1123","11409168.6","1602719999999.0","36470199.644619","80702.0","5461612.08","17467147.082425","0.0","2020-10-14","2020-10-14 23:59:59.999000064"
"1602720000000.0","3.1105","3.1674","2.915","3.0793","7895030.52","1602806399999.0","24135144.708162","67072.0","3779395.61","11562527.359993","0.0","2020-10-15","2020-10-15 23:59:59.999000064"
"1602806400000.0","3.0765","3.3803","2.8813","3.0426","13597633.89","1602892799999.0","43040138.140961","110471.0","6562994.89","20784683.385144","0.0","2020-10-16","2020-10-16 23:59:59.999000064"
"1602892800000.0","3.0436","3.1249","2.9703","3.0566","5391124.74","1602979199999.0","16434510.956638","47505.0","2557845.71","7802445.073219","0.0","2020-10-17","2020-10-17 23:59:59.999000064"
"1602979200000.0","3.0574","3.291","3.0472","3.2811","5642285.19","1603065599999.0","17913667.232235","57058.0","2556111.82","8104472.751531","0.0","2020-10-18","2020-10-18 23:59:59.999000064"
"1603065600000.0","3.2797","3.2885","3.11","3.1703","4410931.55","1603151999999.0","14110519.116801","52793.0","2062564.99","6600138.923536","0.0","2020-10-19","2020-10-19 23:59:59.999000064"
"1603152000000.0","3.1703","3.191","2.8008","2.8582","9089338.55","1603238399999.0","26890645.537144","82829.0","4386229.31","12965096.152779","0.0","2020-10-20","2020-10-20 23:59:59.999000064"
"1603238400000.0","2.8582","3.0884","2.8389","2.9371","9708638.42","1603324799999.0","28946265.458053","108034.0","4437146.15","13231544.919634","0.0","2020-10-21","2020-10-21 23:59:59.999000064"
"1603324800000.0","2.9359","3.1484","2.9194","3.0432","5420844.93","1603411199999.0","16480651.708178","50353.0","2686878.33","8169408.1752","0.0","2020-10-22","2020-10-22 23:59:59.999000064"
"1603411200000.0","3.0418","3.1219","2.9621","3.011","4318812.16","1603497599999.0","13094261.220504","41504.0","2089005.35","6340759.414955","0.0","2020-10-23","2020-10-23 23:59:59.999000064"
"1603497600000.0","3.0123","3.085","2.9272","2.9399","3415735.11","1603583999999.0","10259849.021496","28934.0","1743380.75","5246878.499064","0.0","2020-10-24","2020-10-24 23:59:59.999000064"
"1603584000000.0","2.939","2.966","2.7101","2.7726","4908494.61","1603670399999.0","14083176.929074","44225.0","2308052.82","6633221.626509","0.0","2020-10-25","2020-10-25 23:59:59.999000064"
