Wavelength(nm)  Transmission(a.u.)
670.5	0.56635
671	0.55403
671.5	0.54235
672	0.5313
672.5	0.52088
673	0.51108
673.5	0.50189
674	0.4933
674.5	0.4853
675	0.47787
675.5	0.471
676	0.46467
676.5	0.45888
677	0.4536
677.5	0.44883
678	0.44455
678.5	0.44075
679	0.43743
679.5	0.43456
680	0.43215
680.5	0.43018
681	0.42865
681.5	0.42754
682	0.42687
682.5	0.42661
683	0.42678
683.5	0.42736
684	0.42835
684.5	0.42976
685	0.43158
685.5	0.43381
686	0.43647
686.5	0.43954
687	0.44303
687.5	0.44695
688	0.45131
688.5	0.45609
689	0.46132
689.5	0.467
690	0.47312
690.5	0.47971
691	0.48676
691.5	0.49428
692	0.50228
692.5	0.51076
693	0.51972
693.5	0.52917
694	0.53911
694.5	0.54954
695	0.56045
695.5	0.57185
696	0.58371
696.5	0.59604
697	0.60882
697.5	0.62203
698	0.63563
698.5	0.64961
699	0.66392
699.5	0.67853
700	0.69337
700.5	0.7084
701	0.72355
701.5	0.73873
702	0.75388
702.5	0.7689
703	0.78369
703.5	0.79815
704	0.81218
704.5	0.82566
705	0.83847
705.5	0.8505
706	0.86164
706.5	0.87178
707	0.88081
707.5	0.88864
708	0.8952
708.5	0.90041
709	0.90421
709.5	0.90659
710	0.9075
710.5	0.90697
711	0.905
711.5	0.90164
712	0.89692
712.5	0.89093
713	0.88375
713.5	0.87545
714	0.86615
714.5	0.85594
715	0.84493
715.5	0.83324
716	0.82096
716.5	0.80821
717	0.79509
717.5	0.7817
718	0.76811
718.5	0.75443
719	0.74072
719.5	0.72705
720	0.71349
720.5	0.70009
721	0.6869
721.5	0.67396
722	0.66131
722.5	0.64897
723	0.63697
723.5	0.62532
724	0.61406
724.5	0.60318
725	0.59269
725.5	0.58261
726	0.57293
726.5	0.56365
727	0.55478
727.5	0.54631
728	0.53825
728.5	0.53057
729	0.52329
729.5	0.51639
730	0.50987
730.5	0.50371
731	0.49793
731.5	0.4925
732	0.48742
732.5	0.48268
733	0.47828
733.5	0.47421
734	0.47046
734.5	0.46704
735	0.46392
735.5	0.46111
736	0.4586
736.5	0.45639
737	0.45447
737.5	0.45284
738	0.4515
738.5	0.45043
739	0.44964
739.5	0.44913
740	0.44889
740.5	0.44892
741	0.44922
741.5	0.44978
742	0.45062
742.5	0.45172
743	0.45308
743.5	0.45471
744	0.45661
744.5	0.45878
745	0.46121
745.5	0.46391
746	0.46689
746.5	0.47013
747	0.47364
747.5	0.47744
748	0.4815
748.5	0.48585
749	0.49048
749.5	0.49539
750	0.50059
750.5	0.50607
751	0.51184
751.5	0.51791
752	0.52427
752.5	0.53092
753	0.53786
753.5	0.5451
754	0.55264
754.5	0.56047
755	0.56859
755.5	0.577
756	0.5857
756.5	0.59468
757	0.60394
757.5	0.61346
758	0.62325
758.5	0.63329
759	0.64357
