Wavelength(nm),Transmission(%)
1066.0,0.934236
1067.0,0.934238
1068.0,0.93424
1069.0,0.934243
1070.0,0.934245
1071.0,0.934247
1072.0,0.93425
1073.0,0.934252
1074.0,0.934254
1075.0,0.934257
1076.0,0.934259
1077.0,0.934261
1078.0,0.934263
1079.0,0.934266
1080.0,0.934268
1081.0,0.93427
1082.0,0.934272
1083.0,0.934275
1084.0,0.934277
1085.0,0.934279
1086.0,0.934281
1087.0,0.934283
1088.0,0.934286
1089.0,0.934288
1090.0,0.93429
1091.0,0.934292
1092.0,0.934294
1093.0,0.934297
1094.0,0.934299
1095.0,0.934301
1096.0,0.934303
1097.0,0.934305
1098.0,0.934307
1099.0,0.93431
1100.0,0.934312
1101.0,0.934314
1102.0,0.934316
1103.0,0.934318
1104.0,0.93432
1105.0,0.934322
1106.0,0.934324
1107.0,0.934327
1108.0,0.934329
1109.0,0.934331
1110.0,0.934333
1111.0,0.934335
1112.0,0.934337
1113.0,0.934339
1114.0,0.934341
1115.0,0.934343
1116.0,0.934345
1117.0,0.934347
1118.0,0.934349
1119.0,0.934351
1120.0,0.934353
1121.0,0.934355
1122.0,0.934357
1123.0,0.934359
1124.0,0.934361
1125.0,0.934363
1126.0,0.934365
1127.0,0.934367
1128.0,0.934369
1129.0,0.934371
1130.0,0.934373
1131.0,0.934375
1132.0,0.934377
1133.0,0.934379
1134.0,0.934381
1135.0,0.934383
1136.0,0.934385
1137.0,0.934387
1138.0,0.934389
1139.0,0.934391
1140.0,0.934393
1141.0,0.934395
1142.0,0.934397
1143.0,0.934399
1144.0,0.9344
1145.0,0.934402
1146.0,0.934404
1147.0,0.934406
1148.0,0.934408
1149.0,0.93441
1150.0,0.934412
1151.0,0.934414
1152.0,0.934416
1153.0,0.934417
1154.0,0.934419
1155.0,0.934421
1156.0,0.934423
1157.0,0.934425
1158.0,0.934427
1159.0,0.934428
1160.0,0.93443
1161.0,0.934432
1162.0,0.934434
1163.0,0.934436
1164.0,0.934438
1165.0,0.934439
1166.0,0.934441
1167.0,0.934443
1168.0,0.934445
1169.0,0.934447
1170.0,0.934448
1171.0,0.93445
1172.0,0.934452
1173.0,0.934454
1174.0,0.934455
1175.0,0.934457
1176.0,0.934459
1177.0,0.934461
1178.0,0.934462
1179.0,0.934464
1180.0,0.934466
1181.0,0.934468
1182.0,0.934469
1183.0,0.934471
1184.0,0.934473
1185.0,0.934475
1186.0,0.934476
1187.0,0.934478
1188.0,0.93448
1189.0,0.934481
1190.0,0.934483
1191.0,0.934485
1192.0,0.934486
1193.0,0.934488
1194.0,0.93449
1195.0,0.934492
1196.0,0.934493
1197.0,0.934495
1198.0,0.934497
1199.0,0.934498
1200.0,0.9345
1201.0,0.934501
1202.0,0.934503
1203.0,0.934505
1204.0,0.934506
1205.0,0.934508
1206.0,0.93451
1207.0,0.934511
1208.0,0.934513
1209.0,0.934515
1210.0,0.934516
1211.0,0.934518
1212.0,0.934519
1213.0,0.934521
1214.0,0.934523
1215.0,0.934524
1216.0,0.934526
1217.0,0.934527
1218.0,0.934529
1219.0,0.934531
1220.0,0.934532
1221.0,0.934534
1222.0,0.934535
1223.0,0.934537
1224.0,0.934538
1225.0,0.93454
1226.0,0.934542
1227.0,0.934543
1228.0,0.934545
1229.0,0.934546
1230.0,0.934548
1231.0,0.934549
1232.0,0.934551
1233.0,0.934552
1234.0,0.934554
1235.0,0.934555
1236.0,0.934557
1237.0,0.934558
1238.0,0.93456
1239.0,0.934561
1240.0,0.934563
1241.0,0.934564
1242.0,0.934566
1243.0,0.934567
1244.0,0.934569
1245.0,0.93457
1246.0,0.934572
1247.0,0.934573
1248.0,0.934575
1249.0,0.934576
1250.0,0.934578
1251.0,0.934579
1252.0,0.934581
1253.0,0.934582
1254.0,0.934584
1255.0,0.934585
1256.0,0.934586
1257.0,0.934588
1258.0,0.934589
1259.0,0.934591
1260.0,0.934592
1261.0,0.934594
1262.0,0.934595
1263.0,0.934597
1264.0,0.934598
1265.0,0.934599
1266.0,0.934601
1267.0,0.934602
1268.0,0.934604
1269.0,0.934605
1270.0,0.934606
1271.0,0.934608
1272.0,0.934609
1273.0,0.934611
1274.0,0.934612
1275.0,0.934613
1276.0,0.934615
1277.0,0.934616
1278.0,0.934618
1279.0,0.934619
1280.0,0.93462
1281.0,0.934622
1282.0,0.934623
1283.0,0.934624
1284.0,0.934626
1285.0,0.934627
1286.0,0.934628
1287.0,0.93463
1288.0,0.934631
1289.0,0.934632
1290.0,0.934634
1291.0,0.934635
1292.0,0.934636
1293.0,0.934638
1294.0,0.934639
1295.0,0.93464
1296.0,0.934642
1297.0,0.934643
1298.0,0.934644
1299.0,0.934646
1300.0,0.934647
1301.0,0.934648
1302.0,0.93465
1303.0,0.934651
1304.0,0.934652
1305.0,0.934653
1306.0,0.934655
1307.0,0.934656
1308.0,0.934657
1309.0,0.934659
1310.0,0.93466
1311.0,0.934661
1312.0,0.934662
1313.0,0.934664
