Wavelength(nm),Transmission(%)
1062.0,0.261946
1063.0,0.262391
1064.0,0.262727
1065.0,0.262955
1066.0,0.263075
1067.0,0.263089
1068.0,0.263
1069.0,0.26281
1070.0,0.262522
1071.0,0.262138
1072.0,0.261662
1073.0,0.261096
1074.0,0.260444
1075.0,0.25971
1076.0,0.258898
1077.0,0.25801
1078.0,0.257052
1079.0,0.256027
1080.0,0.254939
1081.0,0.253792
1082.0,0.252589
1083.0,0.251336
1084.0,0.250036
1085.0,0.248693
1086.0,0.24731
1087.0,0.245892
1088.0,0.244442
1089.0,0.242963
1090.0,0.24146
1091.0,0.239935
1092.0,0.238392
1093.0,0.236835
1094.0,0.235265
1095.0,0.233686
1096.0,0.232101
1097.0,0.230512
1098.0,0.228922
1099.0,0.227333
1100.0,0.225748
1101.0,0.224169
1102.0,0.222597
1103.0,0.221036
1104.0,0.219486
1105.0,0.217949
1106.0,0.216427
1107.0,0.214922
1108.0,0.213434
1109.0,0.211966
1110.0,0.210518
1111.0,0.209091
1112.0,0.207687
1113.0,0.206307
1114.0,0.204952
1115.0,0.203622
1116.0,0.202318
1117.0,0.201041
1118.0,0.199792
1119.0,0.198571
1120.0,0.19738
1121.0,0.196217
1122.0,0.195085
1123.0,0.193983
1124.0,0.192912
1125.0,0.191873
1126.0,0.190865
1127.0,0.189889
1128.0,0.188944
1129.0,0.188028
1130.0,0.187143
1131.0,0.186287
1132.0,0.185462
1133.0,0.184667
1134.0,0.183904
1135.0,0.183171
1136.0,0.182469
1137.0,0.181799
1138.0,0.18116
1139.0,0.180552
1140.0,0.179976
1141.0,0.179432
1142.0,0.178919
1143.0,0.178438
1144.0,0.177989
1145.0,0.177572
1146.0,0.177187
1147.0,0.176834
1148.0,0.176513
1149.0,0.176224
1150.0,0.175968
1151.0,0.175743
1152.0,0.175551
1153.0,0.175391
1154.0,0.175263
1155.0,0.175168
1156.0,0.175105
1157.0,0.175075
1158.0,0.175077
1159.0,0.175111
1160.0,0.175179
1161.0,0.175279
1162.0,0.175412
1163.0,0.175578
1164.0,0.175778
1165.0,0.17601
1166.0,0.176276
1167.0,0.176575
1168.0,0.176908
1169.0,0.177274
1170.0,0.177675
1171.0,0.178109
1172.0,0.178578
1173.0,0.179081
1174.0,0.179619
1175.0,0.180192
1176.0,0.180799
1177.0,0.181442
1178.0,0.182121
1179.0,0.182835
1180.0,0.183585
1181.0,0.184372
1182.0,0.185195
1183.0,0.186055
1184.0,0.186952
1185.0,0.187886
1186.0,0.188858
1187.0,0.189868
1188.0,0.190917
1189.0,0.192004
1190.0,0.19313
1191.0,0.194296
1192.0,0.195501
1193.0,0.196746
1194.0,0.198032
1195.0,0.199359
1196.0,0.200727
1197.0,0.202136
1198.0,0.203587
1199.0,0.205081
1200.0,0.206617
1201.0,0.208196
1202.0,0.209819
1203.0,0.211485
1204.0,0.213196
1205.0,0.214951
1206.0,0.216751
1207.0,0.218596
1208.0,0.220487
1209.0,0.222424
1210.0,0.224408
1211.0,0.226437
1212.0,0.228514
1213.0,0.230638
1214.0,0.232809
1215.0,0.235028
1216.0,0.237295
1217.0,0.239609
1218.0,0.241973
1219.0,0.244384
1220.0,0.246844
1221.0,0.249352
1222.0,0.25191
1223.0,0.254515
1224.0,0.257169
1225.0,0.259872
1226.0,0.262623
1227.0,0.265422
1228.0,0.268268
1229.0,0.271163
1230.0,0.274104
1231.0,0.277092
1232.0,0.280126
1233.0,0.283206
1234.0,0.286331
1235.0,0.289499
1236.0,0.292712
1237.0,0.295966
1238.0,0.299262
1239.0,0.302599
1240.0,0.305975
1241.0,0.309389
1242.0,0.312843
1243.0,0.316334
1244.0,0.319862
1245.0,0.323424
1246.0,0.327019
1247.0,0.330646
1248.0,0.334301
1249.0,0.337985
1250.0,0.341693
1251.0,0.345424
1252.0,0.349177
1253.0,0.352947
1254.0,0.356732
1255.0,0.360531
1256.0,0.364339
1257.0,0.368154
1258.0,0.371973
1259.0,0.375792
1260.0,0.379608
1261.0,0.383417
1262.0,0.387217
1263.0,0.391003
1264.0,0.394771
1265.0,0.398518
1266.0,0.402239
1267.0,0.40593
1268.0,0.409588
1269.0,0.413208
1270.0,0.416785
1271.0,0.420316
1272.0,0.423796
1273.0,0.42722
1274.0,0.430585
1275.0,0.433886
1276.0,0.437119
1277.0,0.440279
1278.0,0.443361
1279.0,0.446363
1280.0,0.44928
1281.0,0.452107
1282.0,0.454841
1283.0,0.457479
1284.0,0.460016
1285.0,0.462448
1286.0,0.464774
1287.0,0.466989
1288.0,0.469091
1289.0,0.471076
1290.0,0.472943
1291.0,0.474689
1292.0,0.476312
1293.0,0.477811
1294.0,0.479183
1295.0,0.480427
1296.0,0.481543
1297.0,0.48253
1298.0,0.483386
1299.0,0.484112
1300.0,0.484709
1301.0,0.485175
1302.0,0.485512
1303.0,0.485721
1304.0,0.485802
1305.0,0.485756
1306.0,0.485587
1307.0,0.485294
1308.0,0.48488
1309.0,0.484347
1310.0,0.483698
1311.0,0.482934
1312.0,0.48206
1313.0,0.481076
1314.0,0.479988
1315.0,0.478797
1316.0,0.477506
1317.0,0.47612
1318.0,0.474642
1319.0,0.473074
1320.0,0.471422
1321.0,0.469687
1322.0,0.467874
1323.0,0.465987
1324.0,0.464029
1325.0,0.462004
1326.0,0.459915
1327.0,0.457767
1328.0,0.455562
1329.0,0.453305
1330.0,0.450999
1331.0,0.448647
1332.0,0.446253
1333.0,0.44382
1334.0,0.441352
1335.0,0.438852
1336.0,0.436323
1337.0,0.433767
1338.0,0.431189
1339.0,0.42859
1340.0,0.425975
1341.0,0.423344
1342.0,0.420702
1343.0,0.41805
1344.0,0.415391
1345.0,0.412727
1346.0,0.410061
1347.0,0.407395
1348.0,0.40473
1349.0,0.402069
1350.0,0.399413
1351.0,0.396765
1352.0,0.394125
1353.0,0.391497
1354.0,0.38888
1355.0,0.386277
1356.0,0.383688
1357.0,0.381116
1358.0,0.378561
1359.0,0.376024
1360.0,0.373507
1361.0,0.371011
1362.0,0.368535
1363.0,0.366082
1364.0,0.363652
1365.0,0.361246
1366.0,0.358864
1367.0,0.356508
1368.0,0.354176
1369.0,0.351871
1370.0,0.349593
1371.0,0.347342
1372.0,0.345118
1373.0,0.342921
1374.0,0.340753
1375.0,0.338613
1376.0,0.336502
1377.0,0.33442
1378.0,0.332366
1379.0,0.330342
1380.0,0.328346
1381.0,0.32638
1382.0,0.324444
1383.0,0.322537
1384.0,0.320659
1385.0,0.318811
1386.0,0.316992
1387.0,0.315202
1388.0,0.313442
1389.0,0.311711
1390.0,0.310009
1391.0,0.308336
1392.0,0.306693
1393.0,0.305078
1394.0,0.303492
1395.0,0.301934
1396.0,0.300405
1397.0,0.298905
1398.0,0.297432
1399.0,0.295988
1400.0,0.294571
1401.0,0.293182
1402.0,0.29182
1403.0,0.290486
1404.0,0.289179
1405.0,0.287899
1406.0,0.286646
1407.0,0.285419
1408.0,0.284218
1409.0,0.283044
1410.0,0.281895
1411.0,0.280773
1412.0,0.279676
1413.0,0.278604
1414.0,0.277558
1415.0,0.276536
1416.0,0.27554
1417.0,0.274568
1418.0,0.273621
1419.0,0.272697
1420.0,0.271798
1421.0,0.270923
1422.0,0.270072
1423.0,0.269244
1424.0,0.268439
1425.0,0.267658
1426.0,0.266899
1427.0,0.266164
1428.0,0.265451
1429.0,0.264761
1430.0,0.264094
1431.0,0.263448
1432.0,0.262825
1433.0,0.262223
1434.0,0.261644
1435.0,0.261086
1436.0,0.26055
1437.0,0.260035
1438.0,0.259542
1439.0,0.259069
1440.0,0.258618
1441.0,0.258188
1442.0,0.257778
1443.0,0.25739
1444.0,0.257022
1445.0,0.256675
1446.0,0.256348
1447.0,0.256041
1448.0,0.255755
1449.0,0.255489
1450.0,0.255244
1451.0,0.255018
1452.0,0.254812
1453.0,0.254627
1454.0,0.254461
1455.0,0.254315
